id,observed_on,place_guess,latitude,longitude,species_guess,scientific_name
71489425,2021-03-18,"Missoula County, US-MT, US",46.67368,-114.10432,Pleromelloida bonuscula,Pleromelloida bonuscula
71489591,2021-03-18,"Missoula County, US-MT, US",46.67368,-114.10432,Bruce's Swordgrass Moth,Xylena brucei
71489717,2021-03-18,"Missoula County, US-MT, US",46.67368,-114.10432,Large Grey Pinion Moth,Lithophane georgii
71569187,2019-06-02,"Hamilton, MT 59840, USA",46.2551530793,-114.1637438536,Western Carpet,Melanolophia imitata
71569188,2019-06-14,"Black Bear Campground, Ravalli County, MT, USA",46.1660524247,-113.9219735247,Western Carpet,Melanolophia imitata
71585569,2016-05-08,"Mineral County, US-MT, US",46.909834,-114.81371,Anthocharis julia julia,Anthocharis julia julia
71585616,2016-05-08,"Mineral County, US-MT, US",46.9098066667,-114.81389,Hoary Comma,Polygonia gracilis
71585963,2016-05-08,"Mineral County, US-MT, US",46.91171,-114.816895,Common Gluphisia Moth,Gluphisia septentrionis
71645792,2021-03-18,"Lolo National Forest, Missoula, MT, US",46.8352466667,-114.1031583333,Bronze Ground Beetle,Carabus nemoralis
71655612,2021-03-20,"Travelers' Rest State Park, Lolo, MT, US",46.753145,-114.0896083333,Isabella Tiger Moth,Pyrrharctia isabella
71750564,2020-07-11,"Flathead County, MT, USA",48.5015318161,-114.3475047545,Yellow Velvet Beetle,Lepturobosca chrysocoma
71886156,2017-06-15,"Flathead County, MT, USA",48.48614207,-113.9533103908,Bee-mimic Beetle,Trichiotinus assimilis
71887277,2017-08-04,"Flathead County, MT, USA",48.4670644578,-113.8260311382,Mourning Cloak,Nymphalis antiopa
71887278,2017-08-04,"Flathead County, MT, USA",48.4670644578,-113.8260311382,Alaska Yellowjacket,Vespula alascensis
71887283,2017-08-05,"Flathead County, MT, USA",48.4670644578,-113.8260311382,Yellow-Fronted Bumble Bee,Bombus flavifrons
71887286,2017-08-25,"Flathead County, MT, USA",48.4670644578,-113.8260311382,Brown Waterscorpion,Ranatra fusca
71887835,2017-09-10,"Kalispell, MT 59901, USA",48.1962583333,-114.311,Spotted Tussock Moth,Lophocampa maculata
72105744,2021-03-17,"Sleeping Child Creek, Ravalli County, MT, USA",46.1221183056,-114.0199935435,Annaphila danistica,Annaphila danistica
72105745,2019-04-19,"Hamilton, MT 59840, USA",46.2551530793,-114.1637438536,Speckled Green Fruitworm Moth,Orthosia hibisci
72148004,2019-08-13,"Bigfork, Montana 59911, Vereinigte Staaten",48.0638489284,-114.0722133592,Lophocampa maculata,Lophocampa maculata
