"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-26","0.03","40","50","31"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-27","0.27","36","40","28"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-28","0.05","36","41","33"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-29","0.00","37","45","29"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-30","0.00","37","52","24"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-31","0.00","38","56","25"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-01","0.00","41","56","27"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-02","0.00","41","60","27"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-03","0.00","43","55","33"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-04","0.00","47","57","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-05","0.07","47","58","35"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-06","0.00","44","50","37"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-07","0.29","44","56","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-08","0.26","43","49","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-09","1.11","41","43","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-10","0.12","41","46","38"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-11","0.05","40","49","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-12","0.00","38","53","28"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-13","0.01","43","52","35"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-14","0.00","44","49","36"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-15","0.00","40","50","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-16","0.01","42","55","35"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-17","0.04","46","57","38"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-18","0.00","46","70","30"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-19","0.13","55","72","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-20","0.34","52","55","47"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-21","0.31","49","58","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-22","0.00","47","66","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-23","0.01","55","62","47"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-24","0.00","55","63","43"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-25","0.00","49","64","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-26","0.00","48","54","38"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-27","0.04","42","54","31"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-28","0.02","36","42","31"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-29","0.00","37","50","28"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-04-30","0.00","39","49","25"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-01","0.00","42","55","27"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-02","0.00","45","56","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-03","0.00","47","66","33"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-04","0.00","51","69","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-05","0.00","54","65","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-06","0.00","53","66","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-07","0.01","54","69","40"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-08","0.05","51","61","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-09","0.00","49","63","36"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-10","0.00","52","73","35"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-11","0.00","58","79","38"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-12","0.00","60","80","41"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-13","0.00","63","80","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-14","0.00","63","82","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-15","0.02","64","70","54"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-16","0.35","60","71","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-17","0.97","53","53","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-18","0.19","48","53","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-19","0.00","50","59","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-20","0.00","49","55","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-21","0.00","53","64","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-22","0.00","53","64","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-23","0.00","52","70","36"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-24","0.00","53","65","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-25","0.09","54","67","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-26","0.12","56","59","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-27","0.00","54","62","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-28","0.00","57","74","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-29","0.00","60","79","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-30","0.00","61","75","43"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-05-31","0.00","63","77","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-01","0.00","63","81","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-02","0.08","65","83","48"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-03","0.00","68","82","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-04","0.00","65","81","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-05","0.00","62","81","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-06","0.15","61","64","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-07","0.01","49","58","43"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-08","0.11","47","57","41"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-09","0.00","52","71","41"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-10","0.00","60","79","48"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-11","0.00","67","79","50"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-12","0.00","67","87","48"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-13","0.00","70","88","53"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-14","0.00","70","84","52"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-15","0.00","67","84","50"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-16","0.00","69","83","57"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-17","0.00","65","80","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-18","0.00","64","82","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-19","0.00","64","71","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-20","0.01","51","58","41"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-21","0.06","51","63","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-22","0.00","54","63","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-23","0.00","56","71","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-24","0.00","59","73","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-25","0.05","57","74","37"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-26","0.10","60","79","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-27","0.09","59","76","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-28","0.00","59","68","47"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-29","0.00","60","81","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-06-30","0.00","65","84","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-01","0.02","69","87","53"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-02","0.29","67","77","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-03","0.19","60","71","50"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-04","0.00","60","80","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-05","0.00","67","86","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-06","0.11","72","86","56"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-07","0.00","63","81","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-08","0.21","64","80","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-09","0.00","60","81","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-10","0.00","68","86","55"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-11","0.00","72","85","57"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-12","0.00","72","90","58"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-13","0.01","74","92","55"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-14","0.10","74","89","61"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-15","0.00","69","85","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-16","0.00","67","80","57"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-17","0.00","64","76","48"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-18","0.01","66","78","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-19","0.00","60","73","41"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-20","0.00","59","79","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-21","0.00","65","89","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-22","0.03","69","84","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-23","0.00","73","94","56"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-24","0.00","75","82","52"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-25","0.00","64","87","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-26","0.00","69","91","47"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-27","0.00","74","90","52"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-28","0.00","71","87","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-29","0.00","69","92","47"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-30","0.00","72","91","52"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-07-31","0.00","72","95","53"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-01","0.00","75","93","56"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-02","0.18","76","95","55"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-03","0.00","69","88","53"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-04","0.00","72","92","54"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-05","0.00","75","94","56"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-06","0.00","74","96","53"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-07","0.00","75","95","54"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-08","0.00","78","96","61"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-09","0.06","73","76","62"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-10","0.01","69","85","55"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-11","0.40","61","71","53"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-12","0.04","58","75","52"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-13","0.00","62","83","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-14","0.00","66","86","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-15","0.25","67","80","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-16","0.00","61","80","47"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-17","0.07","64","73","53"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-18","0.00","63","86","48"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-19","0.00","69","90","48"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-20","0.00","70","93","50"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-21","0.00","73","96","53"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-22","0.21","70","73","58"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-23","0.00","63","82","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-24","0.00","68","85","54"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-25","0.00","64","74","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-26","0.00","61","78","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-27","0.00","62","83","43"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-28","0.00","66","91","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-29","0.00","66","75","48"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-30","0.06","66","84","56"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-08-31","0.00","65","88","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-01","0.00","71","92","54"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-02","0.00","73","89","54"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-03","0.00","69","93","49"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-04","0.00","73","88","53"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-05","0.00","67","90","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-06","0.65","71","75","59"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-07","0.00","64","77","57"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-08","0.80","63","72","52"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-09","0.20","58","65","51"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-10","0.00","55","69","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-11","0.00","58","70","47"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-12","0.00","56","74","43"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-13","0.00","58","76","41"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-14","0.00","63","82","47"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-15","0.00","63","86","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-16","0.00","63","78","50"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-17","0.04","59","62","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-18","0.11","49","54","43"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-19","0.00","52","65","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-09-20","0.05","51","60","41"
